# debris fragments from Cosmos1408 ASAT test
# simulated by Hugh Lewis
# file received by AL 2021-11-25
# SMA is semi-major axis from centre of Earth
# SMA-km   	ECC	         INC-dg	     RAAN-dg	AOP-dg	    MA-dg
6842.309623	0.003391	82.638517	123.519174	143.864547	185.536687
6941.187945	0.011773	82.672346	123.498364	350.947751	338.916231
6874.642594	0.002171	82.64477	123.515329	20.650363	308.909632
6892.023114	0.005968	82.429871	123.64765	18.596681	311.269702
6779.519328	0.012732	82.490556	123.610261	142.995391	186.516041
6848.15733	0.002814	82.530489	123.585674	122.364558	207.137616
6873.497093	0.001513	82.571646	123.560336	7.904939	321.563105
6806.882391	0.009358	82.558445	123.568458	171.599947	157.346847
6857.760343	0.006959	82.892076	123.36324	68.274218	261.898578
6846.519892	0.003481	82.572668	123.559705	111.252453	218.353015
7183.052462	0.045668	83.17202	123.191334	343.86558	346.819881
6842.584759	0.00356	82.530462	123.58569	128.394673	201.106827
6765.656953	0.01583	83.273739	123.128899	127.629795	202.458028
6929.667877	0.009817	82.567302	123.563014	309.121586	19.854801
6827.617032	0.009899	82.394746	123.669288	93.071494	237.219241
6961.776727	0.013834	82.366071	123.686969	328.88491	0.45092
6891.552807	0.004763	82.475192	123.619732	291.109712	37.90685
6808.446759	0.016842	83.099027	123.236117	208.009332	119.729074
6799.563421	0.010658	82.338123	123.704183	124.164933	205.695542
6778.02819	0.01333	82.722471	123.467516	163.138241	165.861247
7456.696204	0.080741	83.216917	123.163796	316.766296	10.756338
6956.607439	0.013164	82.631097	123.523748	322.914912	6.286597
6834.529371	0.004535	82.558879	123.568193	144.121111	185.283712
6924.187929	0.009174	82.318101	123.716535	351.182334	338.54876
6914.279096	0.008754	82.430008	123.647568	5.117344	324.81698
6877.39884	0.00373	82.747362	123.452213	31.022542	298.727361
6769.730855	0.01558	82.502487	123.602912	124.079764	206.039355
6738.13422	0.019936	82.808292	123.414734	130.313886	199.813801
7080.959275	0.058214	80.849947	124.625595	29.821552	305.083183
6852.836662	0.002056	82.541728	123.578754	122.050906	207.414219
6868.642434	0.004599	82.342932	123.701224	53.024907	276.840133
6872.856892	0.001119	82.67939	123.494026	344.03576	345.365335
6793.099945	0.013344	82.568232	123.562432	111.975487	218.315755
6844.899668	0.004214	82.562154	123.566178	193.041996	135.981514
6793.466763	0.010595	82.416377	123.655957	147.116305	182.27494
6860.022609	0.001647	82.565951	123.563841	87.331389	242.194385
7321.919077	0.073147	85.689412	121.654798	294.960042	30.063196
6913.58982	0.010558	81.866149	123.995511	17.736143	312.467815
6880.849773	0.020201	83.581298	122.940389	243.882689	83.247279
6832.184964	0.006753	82.61242	123.535234	104.972161	224.932285
6832.536095	0.005449	82.443949	123.638973	120.803605	208.843536
6903.771658	0.00565	82.982193	123.307872	339.482575	350.023696
6939.020896	0.015529	83.068934	123.254601	16.24086	314.448968
6797.665858	0.010595	82.422866	123.651959	128.97271	200.797103
7025.014648	0.033302	82.894249	123.361915	280.201747	46.349615
6955.61256	0.013535	82.163389	123.811955	345.544427	344.21573
6827.210781	0.007381	82.407232	123.661594	188.981537	139.82095
6867.210714	0.00134	82.583939	123.552768	47.584308	281.926795
6848.061625	0.002547	82.608653	123.537554	143.650638	185.740266
7211.396273	0.061336	82.451996	123.634039	9.399743	324.333776
6867.260998	0.002415	82.546187	123.57601	244.757365	84.325
7304.737138	0.060219	84.27644	122.515295	325.240815	3.770659
6844.825633	0.003626	82.537235	123.58152	114.837419	214.754479
6955.682173	0.022361	81.716015	124.088351	24.124271	307.242802
6828.105078	0.012752	82.661973	123.504739	84.646155	246.045397
6868.940882	0.00106	82.23686	123.766626	29.906384	299.532035
7138.236659	0.041776	82.542726	123.578158	353.446139	337.824011
6791.177248	0.014405	82.446068	123.637664	108.48882	221.945456
6903.52085	0.006038	82.554824	123.570694	304.408373	24.66141
6859.933741	0.001565	82.634251	123.5218	89.540123	239.979387
6952.593211	0.024026	81.559441	124.18526	268.767463	58.135234
7220.499929	0.053234	83.044982	123.269325	304.869223	22.100399
6862.103871	0.000776	82.519042	123.592724	97.439255	231.986144
6811.750929	0.013718	81.284561	124.355607	94.18433	236.357034
6824.106499	0.006063	82.471973	123.62171	145.732183	183.661571
6836.373555	0.004615	82.586956	123.550909	125.769903	203.801793
6840.565812	0.003906	82.592286	123.547628	169.972471	159.229528
6773.81315	0.014921	82.696105	123.483735	123.961748	206.14367
6815.296178	0.007511	82.445626	123.637939	160.200966	168.982867
6865.617555	0.001857	82.368127	123.685695	57.892642	271.663409
6757.096583	0.016242	82.760112	123.444363	157.764339	171.328991
